country_id,country,summer_from,summer_to,summer_participants,summer_sports,summer_gold,summer_silver,summer_bronze,summer_total,winter_from,winter_to,winter_participants,winter_sports,winter_gold,winter_silver,winter_bronze,winter_total
11,Australasia,1908,1912,53,8,3,4,5,12,,,,,,,,
15,Bahamas,1952,2012,147,8,5,2,5,12,,,,,,,,
25,Bohemia,1900,1912,66,9,,1,5,6,,,,,,,,
31,Brunei,1996,2012,6,3,,,,,,,,,,,,
38,Cape Verde,1996,2012,9,4,,,,,,,,,,,,
44,Chinese Taipei,1956,2012,486,23,2,7,12,21,1972,2014,44,8,,,,
47,Congo (Brazzaville),1964,2012,66,7,,,,,,,,,,,,
48,Congo (Kinshasa),1968,2012,65,7,,,,,,,,,,,,
49,Cook Islands,1988,2012,24,6,,,,,,,,,,,,
51,"Cote d'Ivoire",1964,2012,116,11,,1,,1,,,,,,,,
52,Crete,1906,1906,8,2,,,,,,,,,,,,
57,Czechoslovakia,1920,1992,1620,30,49,50,47,146,1924,1992,480,11,2,8,15,25
62,East Germany,1968,1988,1129,21,153,129,127,409,1968,1988,232,10,39,36,35,110
64,Egypt,1906,2012,907,29,7,8,9,24,1984,1984,1,1,,,,
70,Federated States of Micronesia,2000,2012,14,4,,,,,,,,,,,,
75,Gambia,1984,2012,29,3,,,,,,,,,,,,
79,Great Britain,1896,2012,5447,43,245,290,276,811,1924,2014,642,16,10,4,12,26
85,Guinea Bissau,1996,2012,12,2,,,,,,,,,,,,
89,Hong Kong,1952,2012,292,19,1,1,1,3,2002,2014,4,1,,,,
93,Individual Olympic Athletes,1992,2012,66,16,,1,2,3,2014,2014,1,1,,,,
95,Iran,1900,2012,463,21,15,20,25,60,1956,2014,24,2,,,,
107,Kyrgyzstan,1996,2012,110,13,,1,2,3,1994,2014,7,4,,,,
108,Laos,1980,2012,43,5,,,,,,,,,,,,
117,Macedonia,1996,2012,32,5,,,1,1,1998,2014,10,2,,,,
120,Malaya,1956,1960,40,5,,,,,,,,,,,,
140,Netherlands Antilles,1952,2008,52,11,,1,,1,1988,1992,3,2,,,,
142,Newfoundland,1904,1904,1,1,,,,,,,,,,,,
146,North Borneo,1956,1956,2,1,,,,,,,,,,,,
147,North Korea,1972,2012,325,16,14,12,21,47,1964,2010,62,5,,1,1,2
148,North Yemen,1984,1988,10,3,,,,,,,,,,,,
153,Palestine,1996,2012,15,3,,,,,,,,,,,,
163,Rhodesia,1960,1960,14,6,,,,,,,,,,,,
165,Russia,1900,2012,1637,33,134,126,145,405,1994,2014,616,15,49,40,35,124
167,Saar,1952,1952,36,9,,,,,,,,,,,,
168,Saint Kitts and Nevis,1996,2012,17,1,,,,,,,,,,,,
169,Saint Lucia,1996,2012,17,3,,,,,,,,,,,,
170,Saint Vincent and the Grenadines,1988,2012,25,2,,,,,,,,,,,,
173,Sao Tome and Principe,1996,2012,11,2,,,,,,,,,,,,
177,Serbia and Montenegro,1996,2004,193,19,2,4,3,9,1998,2006,12,5,,,,
181,Slovakia,1996,2012,232,21,7,9,8,24,1994,2014,201,12,2,2,1,5
186,South Korea,1948,2012,2003,31,81,82,80,243,1948,2014,257,13,26,17,10,53
187,South Vietnam,1952,1972,39,7,,,,,,,,,,,,
188,South Yemen,1988,1988,5,2,,,,,,,,,,,,
189,Soviet Union,1952,1988,2475,27,395,319,296,1010,1956,1988,473,10,78,57,59,194
197,Syria,1948,2012,129,12,1,1,1,3,,,,,,,,
201,Timor Leste,2004,2012,5,1,,,,,2014,2014,1,1,,,,
211,Unified Team,1992,1992,475,27,45,38,29,112,1992,1992,129,12,9,6,8,23
213,United Arab Republic,1960,1960,74,12,,1,1,2,,,,,,,,
215,United States Virgin Islands,1968,2012,121,10,,1,,1,1988,2014,26,3,,,,
216,Unknown,1912,1912,2,1,,,,,,,,,,,,
220,Venezuela,1932,2012,488,27,2,2,8,12,1998,2014,5,2,,,,
222,West Germany,1968,1988,1371,27,56,67,81,204,1968,1988,336,10,11,15,13,39
223,West Indies Federation,1960,1960,13,5,,,2,2,,,,,,,,
224,Yemen,1992,2012,25,6,,,,,,,,,,,,
225,Yugoslavia,1920,1988,1035,25,26,29,28,83,1924,1992,235,10,,3,1,4
